"Course Code","Course Name","Section","Faculty","Schedule","Room"
"BUS 1102","Introduction to Business","A","Jerin Haque Chhanda","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 202","202"
"BUS 1102","Introduction to Business","B","Jerin Haque Chhanda","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 202","202"
"BUS 1102","Introduction to Business","C","Kawsar Ahmmed","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 201","201"
"BUS 1102","Introduction to Business","D","Mahbuba Sultana","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 201","201"
"BUS 1102","Introduction to Business","E","Sadia Binte Anwar","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 202","202"
"BUS 1102","Introduction to Business","F","Nusrat Farzana","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 201","201"
"BUS 1102","Introduction to Business","G","Montaha Ayub Vasha","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 202","202"
"BUS 1102","Introduction to Business","H","Abrar Mahmood Sami","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 203","203"
"BUS 1102","Introduction to Business","I (IF REQ.)","Mohammad Behroz Jalil","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 202","202"
"MKT 2320","Introduction to Marketing","A","Md. Kaium Hossain","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 211","211"
"MKT 2320","Introduction to Marketing","B","Sarker Rafij Ahmed Ratan","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 211","211"
"MKT 2320","Introduction to Marketing","C","Md. Kaium Hossain","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 211","211"
"MKT 2320","Introduction to Marketing","D","Sarker Rafij Ahmed Ratan","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 211","211"
"MKT 3336","Marketing Management","A","Seyama Sultana","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 209","209"
"MKT 3336","Marketing Management","B","Seyama Sultana","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 208","208"
"MKT 3336","Marketing Management","C","Md. Shariful Alam","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 207","207"
"MKT 3336","Marketing Management","D","Md. Shariful Alam","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 208","208"
"MKT 4102","Services Marketing","A","Kawsar Ahmmed","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 209","209"
"MKT 4203","Integrated Communication","A","Md. Kaium Hossain","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 222","222"
"BUS 2112","Business Communications","A","S.M. Asif-Ur-Rahman","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 206","206"
"BUS 2112","Business Communications","B","Khandoker Mahmudur Rahman","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 207","207"
"BUS 2112","Business Communications","C","S.M. Asif-Ur-Rahman","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 202","202"
"MKT 4308","Supply Chain Management","A","Mahbuba Sultana","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 222","222"
"MKT 4308","Supply Chain Management","B","Mahbuba Sultana","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 222","222"
"MKT 4311","Brand Management","A","Khandoker Mahmudur Rahman","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 208","208"
